"19","3","2010-05-04 14:08:41","carlhuse"
"60","2","2010-05-04 14:08:41","jornhwan"
"95","4","2010-05-04 14:08:41","andrejon"
"122","2","2010-05-04 14:08:41","ambjorb"
"124","4","2010-05-04 14:08:41","fredrol"
"133","3","2010-05-04 14:08:41","julieste"
"124","1","2010-05-04 14:10:54","fredrol"
"124","1","2010-05-04 14:11:08","fredrol"
"48","1","2010-05-04 14:12:40","bjornoy"
"55","2","2010-05-04 14:12:40","eirikgje"
"84","1","2010-05-04 14:12:40","evenlang"
"130","14","2010-05-04 14:12:40","miakvale"
"132","8","2010-05-04 14:12:40","mollystr"
"117","2","2010-05-04 14:13:14","snorreri"
"60","1","2010-05-04 14:15:35","jornhwan"
"86","3","2010-05-04 14:15:35","monikabl"
"93","1","2010-05-04 14:15:35","erlbeck"
"95","1","2010-05-04 14:15:35","andrejon"
"117","2","2010-05-04 14:15:35","snorreri"
"125","4","2010-05-04 14:15:35","frederli"
"141","2","2010-05-04 14:15:35","kjern"
"142","1","2010-05-04 14:15:35","bjostro"
"5","1","2010-09-22 21:02:34","skolem"
"11","1","2010-09-22 21:02:34","kenroger"
"12","2","2010-09-22 21:02:34","mariusuv"
"64","1","2010-09-22 21:02:34","johannre"
"78","3","2010-09-22 21:02:34","oddmunh"
"86","1","2010-09-22 21:02:34","monikabl"
"87","2","2010-09-22 21:02:34","tarjeibo"
"90","1","2010-09-22 21:02:34","torstene"
"95","2","2010-09-22 21:02:34","andrejon"
"103","2","2010-09-22 21:02:34","jonatht"
"117","1","2010-09-22 21:02:34","snorreri"
"119","6","2010-09-22 21:02:34","asmundu"
"122","1","2010-09-22 21:02:34","ambjorb"
"124","4","2010-09-22 21:02:34","fredrol"
"128","1","2010-09-22 21:02:34","hagenvik"
"129","2","2010-09-22 21:02:34","hannegry"
"133","3","2010-09-22 21:02:34","julieste"
"136","1","2010-09-22 21:02:34","astrima"
"149","1","2010-09-22 21:02:34","lisagreg"
"150","4","2010-09-22 21:02:34","mirathoe"
"151","3","2010-09-22 21:02:34","jonoddk"
"154","2","2010-09-22 21:02:34","davidac"
"156","4","2010-09-22 21:02:34","thomaove"
"162","3","2010-09-22 21:02:34","inebeate"
"163","4","2010-09-22 21:02:34","akselsm"
"164","5","2010-09-22 21:02:34","bjorpe"
"166","1","2010-09-22 21:02:34","mariatom"
"167","1","2010-09-22 21:02:34","espentun"
"168","2","2010-09-22 21:02:34","marikja"
"169","1","2010-09-22 21:02:34","lindason"
"170","3","2010-09-22 21:02:34","mosberg"
"175","3","2010-09-22 21:02:34","maaland"
"178","1","2010-09-22 21:02:34","augustem"
"12","1","2010-09-22 21:13:42","mariusuv"
"15","1","2010-09-22 21:13:42","audunnys"
"60","1","2010-09-22 21:13:42","jornhwan"
"95","2","2010-09-22 21:13:42","andrejon"
"109","2","2010-09-22 21:13:42","fredb"
"115","1","2010-09-22 21:13:42","idj"
"119","7","2010-09-22 21:13:42","asmundu"
"122","1","2010-09-22 21:13:42","ambjorb"
"125","4","2010-09-22 21:13:42","frederli"
"129","1","2010-09-22 21:13:42","hannegry"
"133","2","2010-09-22 21:13:42","julieste"
"149","2","2010-09-22 21:13:42","lisagreg"
"150","2","2010-09-22 21:13:42","mirathoe"
"163","4","2010-09-22 21:13:42","akselsm"
"166","1","2010-09-22 21:13:42","mariatom"
"168","1","2010-09-22 21:13:42","marikja"
"170","4","2010-09-22 21:13:42","mosberg"
"173","1","2010-09-22 21:13:42","roede"
"174","2","2010-09-22 21:13:42","vernerh"
"175","2","2010-09-22 21:13:42","maaland"
"5","1","2010-09-22 21:30:55","skolem"
"12","2","2010-09-22 21:30:55","mariusuv"
"15","1","2010-09-22 21:30:55","audunnys"
"24","2","2010-09-22 21:30:55","vidarton"
"34","1","2010-09-22 21:30:55","jonmars"
"46","1","2010-09-22 21:30:55","andrerei"
"56","1","2010-09-22 21:30:55","elisaari"
"60","1","2010-09-22 21:30:55","jornhwan"
"64","1","2010-09-22 21:30:55","johannre"
"86","4","2010-09-22 21:30:55","monikabl"
"87","1","2010-09-22 21:30:55","tarjeibo"
"90","1","2010-09-22 21:30:55","torstene"
"95","1","2010-09-22 21:30:55","andrejon"
"103","4","2010-09-22 21:30:55","jonatht"
"104","1","2010-09-22 21:30:55","sigurdro"
"109","2","2010-09-22 21:30:55","fredb"
"117","2","2010-09-22 21:30:55","snorreri"
"119","9","2010-09-22 21:30:55","asmundu"
"122","1","2010-09-22 21:30:55","ambjorb"
"124","2","2010-09-22 21:30:55","fredrol"
"125","5","2010-09-22 21:30:55","frederli"
"130","8","2010-09-22 21:30:55","miakvale"
"132","2","2010-09-22 21:30:55","mollystr"
"133","4","2010-09-22 21:30:55","julieste"
"150","1","2010-09-22 21:30:55","mirathoe"
"151","6","2010-09-22 21:30:55","jonoddk"
"157","4","2010-09-22 21:30:55","rasmussc"
"160","3","2010-09-22 21:30:55","inamugge"
"161","1","2010-09-22 21:30:55","krr"
"162","6","2010-09-22 21:30:55","inebeate"
"163","4","2010-09-22 21:30:55","akselsm"
"164","2","2010-09-22 21:30:55","bjorpe"
"166","1","2010-09-22 21:30:55","mariatom"
"168","1","2010-09-22 21:30:55","marikja"
"170","7","2010-09-22 21:30:55","mosberg"
"173","5","2010-09-22 21:30:55","roede"
"175","2","2010-09-22 21:30:55","maaland"
"178","1","2010-09-22 21:30:55","augustem"
"3","1","2010-10-18 16:21:12","storset"
"5","1","2010-10-18 16:21:12","skolem"
"11","3","2010-10-18 16:21:12","kenroger"
"12","9","2010-10-18 16:21:12","mariusuv"
"24","3","2010-10-18 16:21:12","vidarton"
"46","1","2010-10-18 16:21:12","andrerei"
"51","2","2010-10-18 16:21:12","thomafal"
"60","2","2010-10-18 16:21:12","jornhwan"
"64","1","2010-10-18 16:21:12","johannre"
"86","2","2010-10-18 16:21:12","monikabl"
"87","3","2010-10-18 16:21:12","tarjeibo"
"93","1","2010-10-18 16:21:12","erlbeck"
"95","2","2010-10-18 16:21:12","andrejon"
"103","3","2010-10-18 16:21:12","jonatht"
"115","5","2010-10-18 16:21:12","idj"
"117","4","2010-10-18 16:21:12","snorreri"
"119","23","2010-10-18 16:21:12","asmundu"
"122","1","2010-10-18 16:21:12","ambjorb"
"125","14","2010-10-18 16:21:12","frederli"
"130","9","2010-10-18 16:21:12","miakvale"
"132","4","2010-10-18 16:21:12","mollystr"
"133","6","2010-10-18 16:21:12","julieste"
"136","2","2010-10-18 16:21:12","astrima"
